logt,num,r,r-i
6.9,34,-1.361,-0.127
6.9,35,-1.389,-0.129
6.9,36,-2.075,-0.145
6.9,37,-2.948,-0.159
6.9,38,-3.0180000000000002,-0.16
6.9,39,-3.7239999999999998,-0.165
6.9,40,-3.765,-0.166
6.9,41,-4.275,-0.165
6.9,42,-4.835,-0.159
6.9,43,-5.406000000000001,-0.14300000000000002
6.9,44,-5.79,-0.132
6.9,45,-6.051,-0.127
6.9,46,-6.056,-0.127
6.9,47,-5.965,-0.132
6.9,48,-5.9079999999999995,-0.138
6.9,49,-5.874,-0.139
6.9,50,-5.928999999999999,-0.136
6.9,51,-6.002000000000001,-0.133
6.9,52,-6.0760000000000005,-0.131
6.9,53,-6.184,-0.126
6.9,54,-6.2989999999999995,-0.11900000000000001
6.9,55,-6.422000000000001,-0.109
6.9,56,-6.523,-0.10400000000000001
6.9,57,-6.612,-0.1
6.9,58,-6.733,-0.09300000000000001
6.9,59,-6.841,-0.086
6.9,60,-6.968999999999999,-0.079
6.9,61,-7.109,-0.062
6.9,62,-7.234,-0.06
6.9,63,-7.36,-0.057
6.9,64,-7.484,-0.047
6.9,65,-7.599,-0.035
6.9,66,-7.718,-0.027000000000000003
6.9,67,-7.827999999999999,-0.02
6.9,68,-7.901,-0.016
6.9,69,-7.97,-0.011000000000000001
6.9,70,-8.048,0.003
6.9,71,-8.107999999999999,0.016
6.9,72,-8.208,0.03
6.9,73,-8.262,0.045
6.9,74,-8.302999999999999,0.07
6.9,75,-8.339,0.105
6.9,76,-8.368,0.15
6.9,77,-8.391,0.205
6.9,78,-8.4,0.27
6.9,79,-8.379,0.33899999999999997
6.9,80,-8.344,0.381
6.9,81,-8.291,0.42
6.9,82,-8.235,0.451
6.9,83,-8.181000000000001,0.479
6.9,84,-8.121,0.502
6.9,85,-8.045,0.529
6.9,86,-7.957000000000001,0.5579999999999999
6.9,87,-7.86,0.593
6.9,88,-7.731,0.6459999999999999
6.9,89,-7.642,0.7070000000000001
6.9,90,-7.645,0.759
6.9,91,-7.683,0.809
6.9,92,-7.79,0.8290000000000001
6.9,93,-7.8389999999999995,0.868
6.95,0,12.277000000000001,1.588
6.95,1,11.317,1.3880000000000001
6.95,2,10.713,1.288
6.95,3,10.245999999999999,1.218
6.95,4,9.841000000000001,1.158
6.95,5,9.432,1.114
6.95,6,9.02,1.025
6.95,7,8.591000000000001,0.9109999999999999
6.95,8,8.166,0.8190000000000001
6.95,9,7.766,0.7390000000000001
6.95,10,6.952999999999999,0.606
6.95,11,6.167000000000001,0.512
6.95,12,5.474,0.433
6.95,13,4.909,0.38
6.95,14,4.414,0.342
6.95,15,3.88,0.3
6.95,16,3.465,0.265
6.95,17,3.102,0.23
6.95,18,2.8,0.19
6.95,19,2.5140000000000002,0.142
6.95,20,2.2640000000000002,0.096
6.95,21,2.066,0.059000000000000004
6.95,22,1.899,0.032
6.95,23,1.825,0.02
6.95,24,1.715,0.011000000000000001
6.95,25,1.483,-0.016
6.95,26,1.153,-0.039
6.95,27,1.0979999999999999,-0.042
6.95,28,0.691,-0.06
6.95,29,0.311,-0.073
6.95,30,-0.009000000000000001,-0.084
6.95,31,-0.27699999999999997,-0.094
6.95,32,-0.53,-0.10099999999999999
6.95,33,-0.9840000000000001,-0.114
6.95,34,-1.2429999999999999,-0.12300000000000001
6.95,35,-1.379,-0.127
6.95,36,-2.024,-0.14300000000000002
6.95,37,-2.113,-0.14400000000000002
6.95,38,-2.9010000000000002,-0.157
6.95,39,-3.029,-0.158
6.95,40,-3.553,-0.162
6.95,41,-3.935,-0.163
6.95,42,-4.08,-0.162
6.95,43,-4.637,-0.156
6.95,44,-5.236000000000001,-0.141
6.95,45,-5.563,-0.132
6.95,46,-5.7410000000000005,-0.129
6.95,47,-5.731,-0.13
6.95,48,-5.6339999999999995,-0.13699999999999998
6.95,49,-5.5760000000000005,-0.14300000000000002
6.95,50,-5.557,-0.14400000000000002
6.95,51,-5.612,-0.139
6.95,52,-5.709,-0.135
6.95,53,-5.787000000000001,-0.133
6.95,54,-5.8629999999999995,-0.129
6.95,55,-5.946000000000001,-0.126
6.95,56,-6.028,-0.121
6.95,57,-6.14,-0.11199999999999999
6.95,58,-6.233,-0.107
6.95,59,-6.317,-0.10300000000000001
6.95,60,-6.351,-0.1
6.95,61,-6.436,-0.096
6.95,62,-6.5089999999999995,-0.091
6.95,63,-6.586,-0.086
6.95,64,-6.689,-0.081
6.95,65,-6.778,-0.073
6.95,66,-6.846,-0.065
6.95,67,-6.943,-0.061
6.95,68,-7.024,-0.059000000000000004
6.95,69,-7.132999999999999,-0.055999999999999994
6.95,70,-7.2170000000000005,-0.049
6.95,71,-7.275,-0.043
6.95,72,-7.359,-0.034
6.95,73,-7.421,-0.027999999999999997
6.95,74,-7.483,-0.025
6.95,75,-7.577000000000001,-0.02
6.95,76,-7.642,-0.016
6.95,77,-7.706,-0.012
6.95,78,-7.792000000000001,0.001
6.95,79,-7.857,0.015
6.95,80,-7.942,0.026000000000000002
6.95,81,-7.989,0.040999999999999995
6.95,82,-8.024,0.061
6.95,83,-8.049,0.085
6.95,84,-8.059,0.10099999999999999
6.95,85,-8.068,0.11800000000000001
6.95,86,-8.075,0.136
6.95,87,-8.079,0.157
6.95,88,-8.083,0.179
6.95,89,-8.087,0.22
6.95,90,-8.083,0.244
6.95,91,-8.073,0.267
6.95,92,-8.055,0.307
6.95,93,-8.016,0.363
6.95,94,-7.986000000000001,0.397
6.95,95,-7.962000000000001,0.43
6.95,96,-7.9510000000000005,0.446
6.95,97,-7.94,0.46299999999999997
6.95,98,-7.92,0.479
6.95,99,-7.901,0.495
6.95,100,-7.271,0.877
6.95,101,-7.305,1.103
