logt,num,r,Hindex
7.1,9,7.766,0.21694499999999997
7.1,10,6.952999999999999,0.19552999999999998
7.1,11,6.167000000000001,0.18056
7.1,12,5.473,0.165915
7.1,13,4.907,0.1509
7.1,14,4.4110000000000005,0.13721
7.1,15,3.878,0.119745
7.1,16,3.465,0.102075
7.1,17,3.1010000000000004,0.08265
7.1,18,2.799,0.05945
7.1,19,2.5140000000000002,0.03021
7.1,20,2.266,0.00248
7.1,21,2.068,-0.0147
7.1,22,1.8969999999999998,-0.02084
7.1,23,1.825,-0.021144999999999997
7.1,24,1.7269999999999999,-0.018940000000000002
7.1,25,1.483,-0.009325
7.1,26,1.409,-0.004855
7.1,27,1.149,0.013309999999999999
7.1,28,0.682,0.0387
7.1,29,0.298,0.053885
7.1,30,-0.026000000000000002,0.063335
7.1,31,-0.302,0.068785
7.1,32,-0.563,0.074745
7.1,33,-0.8809999999999999,0.079705
7.1,34,-1.034,0.08192999999999999
7.1,35,-1.4480000000000002,0.08687
7.1,36,-1.635,0.08909500000000001
7.1,37,-2.1319999999999997,0.094545
7.1,38,-2.2569999999999997,0.09503500000000001
7.1,39,-2.456,0.09677000000000001
7.1,40,-3.105,0.102995
7.1,41,-3.4130000000000003,0.10524000000000001
7.1,42,-3.605,0.106995
7.1,43,-4.125,0.10826
7.1,44,-4.6610000000000005,0.11056500000000001
7.1,45,-4.934,0.11185
7.1,46,-5.063,0.11235999999999999
7.1,47,-5.0489999999999995,0.11285
7.1,48,-4.954,0.11381
7.1,49,-4.912,0.11503499999999998
7.1,50,-4.9,0.11528
7.1,51,-4.925,0.11354500000000001
7.1,52,-5.002,0.11356500000000001
7.1,53,-5.087,0.11334000000000001
7.1,54,-5.196000000000001,0.11235999999999999
7.1,55,-5.275,0.111625
7.1,56,-5.3629999999999995,0.1114
7.1,57,-5.46,0.11168499999999999
7.1,58,-5.555,0.11145999999999999
7.1,59,-5.644,0.11199
7.1,60,-5.728,0.11200999999999998
7.1,61,-5.846,0.11205
7.1,62,-5.977,0.11109000000000001
7.1,63,-6.077000000000001,0.110375
7.1,64,-6.172999999999999,0.11041500000000001
7.1,65,-6.284,0.10819000000000001
7.1,66,-6.377999999999999,0.10421
7.1,67,-6.496,0.10225
7.1,68,-6.575,0.10253499999999999
7.1,69,-6.707000000000001,0.10586
7.1,70,-6.8020000000000005,0.099635
7.1,71,-6.903,0.093165
7.1,72,-6.989,0.08569500000000001
7.1,73,-7.047999999999999,0.082735
7.1,74,-7.127999999999999,0.08357
7.1,75,-7.205,0.07163
7.1,76,-7.249,0.064465
7.1,77,-7.291,0.06415499999999999
7.15,0,12.277000000000001,0.29594000000000004
7.15,1,11.317,0.26794
7.15,2,10.713,0.25544
7.15,3,10.245999999999999,0.25359
7.15,4,9.841000000000001,0.25529
7.15,5,9.432,0.25706999999999997
7.15,6,9.02,0.250875
7.15,7,8.59,0.24105
7.15,8,8.166,0.230345
7.15,9,7.766,0.21694499999999997
7.15,10,6.952999999999999,0.19552999999999998
7.15,11,6.166,0.180805
7.15,12,5.473,0.165915
7.15,13,4.906000000000001,0.151145
7.15,14,4.41,0.13721
7.15,15,3.878,0.1195
7.15,16,3.465,0.102075
7.15,17,3.1010000000000004,0.08365
7.15,18,2.799,0.05945
7.15,19,2.5140000000000002,0.03021
7.15,20,2.267,0.002235
7.15,21,2.069,-0.0147
7.15,22,1.8969999999999998,-0.01984
7.15,23,1.825,-0.020145
7.15,24,1.732,-0.018940000000000002
7.15,25,1.482,-0.010325
7.15,26,1.482,-0.009325
7.15,27,1.147,0.013309999999999999
7.15,28,0.679,0.039455000000000004
7.15,29,0.292,0.052885
7.15,30,-0.034,0.06258
7.15,31,-0.312,0.069785
7.15,32,-0.5770000000000001,0.074745
7.15,33,-0.7659999999999999,0.07697000000000001
