logt,num,J,J-H
6.7,61,-7.504,-0.057999999999999996
6.7,62,-7.574,-0.054000000000000006
6.7,63,-7.653,-0.049
6.7,64,-7.73,-0.047
6.7,65,-7.829,-0.040999999999999995
6.7,66,-7.912999999999999,-0.04
6.7,67,-7.992000000000001,-0.039
6.7,68,-8.08,-0.039
6.7,69,-8.175,-0.032
6.7,70,-8.285,-0.03
6.7,71,-8.402999999999999,-0.023
6.7,72,-8.524,-0.02
6.7,73,-8.65,-0.015
6.7,74,-8.742,-0.008
6.7,75,-8.85,0.0
6.7,76,-8.951,0.01
6.7,77,-9.05,0.01
6.7,78,-9.158999999999999,0.023
6.7,79,-9.24,0.04
6.7,80,-9.326,0.05
6.7,81,-9.382,0.051
6.7,82,-9.463,0.057999999999999996
6.7,83,-9.57,0.07400000000000001
6.7,84,-9.722000000000001,0.109
6.7,85,-10.051,0.2
6.7,86,-10.356,0.295
6.7,87,-10.62,0.386
6.75,0,9.187000000000001,0.6990000000000001
6.75,1,8.601,0.726
6.75,2,8.192,0.755
6.75,3,7.869,0.787
6.75,4,7.582999999999999,0.82
6.75,5,7.257999999999999,0.825
6.75,6,6.962000000000001,0.78
6.75,7,6.68,0.727
6.75,8,6.098,0.7140000000000001
6.75,9,5.518,0.672
6.75,10,4.948,0.5660000000000001
6.75,11,4.4719999999999995,0.447
6.75,12,4.061,0.36200000000000004
6.75,13,3.673,0.314
6.75,14,3.25,0.26
6.75,15,2.918,0.214
6.75,16,2.6460000000000004,0.185
6.75,17,2.4330000000000003,0.14300000000000002
6.75,18,2.259,0.102
6.75,19,2.1069999999999998,0.057999999999999996
6.75,20,1.995,0.033
6.75,21,1.889,0.017
6.75,22,1.8359999999999999,0.009000000000000001
6.75,23,1.7409999999999999,0.006
6.75,24,1.5819999999999999,-0.01
6.75,25,1.321,-0.03
6.75,26,0.945,-0.04
6.75,27,0.8240000000000001,-0.045
6.75,28,0.622,-0.05
6.75,29,0.34600000000000003,-0.062
6.75,30,0.12300000000000001,-0.061
6.75,31,-0.098,-0.069
6.75,32,-0.486,-0.077
