#r,Jmag,J_H
5.70318,15.341,0.4979992
7.00806,16.757,0.3619995
7.60284,16.67,0.8249998
6.15444,16.745,0.9230013
8.08536,14.448,0.5909996
8.81292,16.739,0.79900074
6.08934,16.604,0.9390001
8.74212,13.653,0.6420002
7.06122,15.32,0.6700001
6.28506,15.939,0.71100044
6.75486,16.786,0.625
5.836139999999999,16.569,0.8310003
7.9051800000000005,16.189,0.76299953
7.40034,15.94,0.5899992
8.80434,15.784,0.64100075
8.45868,16.706,0.6700001
8.34552,15.053,0.6760006
7.692419999999999,16.639,1.2209997
7.902120000000001,16.484,0.9379997
6.579599999999999,16.743,0.65800095
6.76554,15.268,0.8210001
5.24256,11.887,0.25600052
6.9756,14.228,0.8149996
8.197379999999999,15.28,0.32199955
8.45562,13.858,0.4239998
8.91432,16.68,0.92800045
6.7419,15.84,0.60099983
8.19312,11.82,0.27600002
8.40246,16.671,0.17599869
5.60256,16.662,1.0940008
8.712720000000001,16.674,1.0100002
9.20106,15.701,0.73700047
8.81286,15.283,0.7119999
9.21048,15.61,0.5629997
8.36322,13.946,0.6149998
8.1546,16.402,0.26000023
8.62794,15.377,0.8870001
8.12448,13.765,0.46100044
8.93568,14.951,0.74699974
8.47344,14.642,0.6890001
9.697379999999999,16.515,0.96299934
7.76142,16.374,0.73300076
6.88002,15.309,1.0039997
8.8401,16.702,0.33799934
8.860199999999999,15.825,0.64799976
8.2257,16.027,0.58500004
8.198699999999999,15.846,0.8299999
8.7147,16.635,1.1079998
6.18522,13.004,0.42299938
6.96732,17.102,1.2229996
8.20926,11.953,0.34800053
6.72408,16.727,0.8979988
7.1202,16.63,0.7319994
7.26408,17.088,1.046999
8.27226,16.394,0.8679991
7.3391399999999996,16.122,0.85499954
8.126520000000001,14.807,1.1079998
6.104279999999999,14.385,0.78600025
8.70876,16.176,0.64900017
8.54778,16.175,0.78299904
6.2715000000000005,16.96,0.9899988
6.2673000000000005,17.019,0.9579983
6.81102,16.672,1.2610006
6.37518,16.961,1.0620003
5.97072,16.689,0.44099998
7.4883,16.433,0.8660002
7.63518,13.754,-0.3720007
8.050619999999999,16.389,0.96000004
7.665360000000001,13.466,0.41699982
7.1082,13.842,1.2519999
7.1182799999999995,16.84,1.1350002
9.44382,15.777,0.967
8.22372,16.74,-0.42099953
9.579419999999999,15.963,0.45800018
7.8562199999999995,16.531,0.8920002
9.53976,15.877,0.599
9.38646,16.96,0.82099915
8.62728,16.666,1.4230003
7.86768,16.536,0.78299904
8.5161,16.273,1.0250006
7.895160000000001,16.798,0.7779999
7.43022,14.286,0.48900032
7.1318399999999995,16.463,0.9279995
8.832600000000001,16.474,0.6020012
7.1928,9.817,0.24500084
8.60172,14.855,1.1269999
6.88962,17.273,1.2709999
9.192779999999999,17.007,1.3140001
7.23672,15.557,0.9619999
9.548580000000001,16.394,0.8659992
7.138319999999999,14.544,-0.5060005
8.3412,16.113,0.9640007
6.85278,15.504,1.019
9.11112,15.79,0.5419998
7.788,15.945,0.6349993
8.1093,14.735,0.7909994
8.928239999999999,15.073,0.6800003
9.61026,16.398,1.085001
9.88488,16.145,0.8210001
9.214260000000001,16.009,0.7960005
8.52246,15.858,1.0760002
9.30144,15.239,0.5130005
9.91884,16.679,0.45700073
9.17154,14.299,1.2969999
9.2247,13.775,0.566
9.53556,14.904,0.84000015
9.57366,16.255,0.82099915
9.49362,12.549,0.33099937
9.710460000000001,14.433,0.27899933
8.75052,14.489,0.53700066
9.66132,16.846,1.2260008
9.277140000000001,11.615,0.13399982
9.11628,13.8,1.0500002
9.8256,16.106,0.50400066
8.89704,16.047,0.93000126
9.77856,16.676,1.1680002
8.06502,16.745,1.217001
9.69354,15.416,0.7020006
9.118920000000001,16.353,1.2350006
8.35548,12.62,1.0780001
9.56406,16.67,-0.055000305
8.004,14.442,1.2060003
9.57324,16.512,0.49300003
8.83686,13.728,0.8699999
9.87102,15.701,0.4800005
9.636,15.39,0.49200058
9.51432,14.898,0.40399933
9.32796,16.036,0.8859997
9.372779999999999,15.134,0.4489994
9.240540000000001,12.533,0.36200047
9.6891,15.006,0.57199955
9.9717,16.647,0.41799927
9.81588,13.898,0.5120001
9.68538,16.324,0.60999966
9.88134,16.678,1.0599995
9.92664,16.79,0.776001
9.976920000000002,15.795,0.26099968
9.509459999999999,11.175,1.3080006
9.78762,15.566,0.5970001
9.625739999999999,15.934,0.50599957
9.941460000000001,16.364,0.4090004
9.51774,12.796,0.7789993
9.55896,13.99,0.51900005
9.45678,16.369,0.46299934
9.77892,15.922,0.47099972
9.18114,15.072,0.62199974
9.141359999999999,12.227,0.38399982
